a_code,name,overseas_rev_pct,fy,basis_note,source_url
603341,Longcheer Technology 龙旗科技,41.6,FY2025,境外销售 RMB17.05bn / region-split total RMB40.96bn (~40.5% of total op revenue RMB42.1bn); FY2024 split not surfaced,https://finance.sina.com.cn/stock/aigc/stockfs/2026-03-30/doc-inhsuquw2711882.shtml
600988,Chifeng Gold 赤峰黄金,69.5,FY2024,"境外 RMB6.24bn of 9.03bn; overseas mines (Laos Sepon, Ghana Wassa) = 74% of gold output",https://m.jiemian.com/article/12546264.html
603083,CIG 剑桥科技,92.54,FY2024,境外营收 92.54% (was 89.3% FY23); also cited in HK IPO filing context,https://news.qq.com/rain/a/20250409A04ZTV00
300638,Fibocom 广和通,60.72,FY2024,境外营收占比 60.72% of RMB8.19bn revenue,https://static.cninfo.com.cn/finalpage/2025-04-19/1223152460.PDF
003021,Zhaowei Machinery 兆威机电,13.9,FY2024,"境外 RMB212m, +35% yoy; overseas GM 44.1% ~15pt above domestic; H1-24 share was 17.95%",https://finance.sina.com.cn/roll/2025-04-08/doc-inesmenx7158362.shtml
688234,SICC 天岳先进,47.5,FY2024,overseas RMB840m of 1.768bn (+104% yoy); company separately cites 57.03% of sales to customers headquartered overseas,https://finance.sina.cn/2025-03-28/detail-inerexcm9819046.d.html
002747,Estun Automation 埃斯顿,34.2,FY2024,overseas RMB1.37bn vs domestic 2.64bn (incl German Cloos unit); computed from disclosed segment figures,https://www.9fzt.com/detail/sz_002747_3_799294322825.html
603093,Nanhua Futures 南华期货,11.4,FY2024,"overseas segment (横华国际) RMB654m / total RMB5.71bn; total inflated by risk-mgmt commodity sales — overseas drives majority of profit, so pct understates",https://news.qq.com/rain/a/20250311A07YCN00
300568,Senior Technology Material 星源材质,13.7,H1-2024,full-year split not found; H1-2024 overseas RMB227m = 13.7% of revenue (used as proxy),https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=300568&id=10440438
688279,Fortior Technology,6.2,FY2024,,src
688062,Mabwell,12.1,FY2025,licensing-heavy base,src
002768,GON Technology,1.6,FY2024,,src
688337,Rigol Technologies,35.9,FY2024,,src
688796,Biocytogen,68.0,FY2024,,src
301087,Cofoe Medical,8.8,FY2025,,src
002881,MEIG Smart Technology,27.3,FY2024,,src
601678,Befar Group,3.5,FY2024,,src
300077,NSing Technology,1.9,FY2025,,src
688339,Sinohytec,2.5,FY2024,,src
002865,Drinda,23.9,FY2024,,src
603906,Lopal Tech,1.0,FY2024,,src
002803,Jihong,63.2,FY2024,Asia-heavy ecommerce,src
300661,SG Micro,58.1,FY2025,HK distributor billing basis,src
002475,Luxshare Precision,87.6,FY2024,export-sales basis,src
300408,CCTC,17.4,FY2025,,src
